[(0, 1), (1, 2), (2, 3), (3, 4), (3, 5), (3, 6)]
[(0, 1), (1, 2), (2, 4), (3, 4), (4, 5), (4, 6)]
[(0, 1), (1, 2), (2, 5), (3, 5), (4, 5), (5, 6)]
[(0, 1), (1, 2), (2, 6), (3, 6), (4, 6), (5, 6)]
[(0, 1), (0, 2), (2, 3), (3, 4), (3, 5), (3, 6)]
[(0, 1), (0, 2), (2, 4), (3, 4), (4, 5), (4, 6)]
[(0, 1), (0, 2), (2, 5), (3, 5), (4, 5), (5, 6)]
[(0, 1), (0, 2), (2, 6), (3, 6), (4, 6), (5, 6)]
[(5, 6), (4, 6), (0, 4), (0, 1), (0, 2), (0, 3)]
[(5, 6), (4, 6), (1, 4), (0, 1), (1, 2), (1, 3)]
[(5, 6), (4, 6), (2, 4), (0, 2), (1, 2), (2, 3)]
[(5, 6), (4, 6), (3, 4), (0, 3), (1, 3), (2, 3)]
[(5, 6), (4, 5), (0, 4), (0, 1), (0, 2), (0, 3)]
[(5, 6), (4, 5), (1, 4), (0, 1), (1, 2), (1, 3)]
[(5, 6), (4, 5), (2, 4), (0, 2), (1, 2), (2, 3)]
[(5, 6), (4, 5), (3, 4), (0, 3), (1, 3), (2, 3)]

