[(0, 1), (1, 2), (2, 3), (2, 4), (4, 5), (4, 6), (4, 7)]
[(0, 1), (1, 3), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7)]
[(0, 1), (1, 3), (2, 3), (3, 5), (4, 5), (5, 6), (5, 7)]
[(0, 1), (1, 3), (2, 3), (3, 6), (4, 6), (5, 6), (6, 7)]
[(0, 1), (1, 3), (2, 3), (3, 7), (4, 7), (5, 7), (6, 7)]
[(0, 1), (0, 2), (2, 3), (2, 4), (4, 5), (4, 6), (4, 7)]
[(6, 7), (5, 7), (4, 5), (3, 5), (0, 3), (1, 3), (2, 3)]
[(6, 7), (4, 6), (4, 5), (0, 4), (0, 1), (0, 2), (0, 3)]
[(6, 7), (4, 6), (4, 5), (1, 4), (0, 1), (1, 2), (1, 3)]
[(6, 7), (4, 6), (4, 5), (2, 4), (0, 2), (1, 2), (2, 3)]
[(6, 7), (4, 6), (4, 5), (3, 4), (0, 3), (1, 3), (2, 3)]
[(6, 7), (5, 6), (4, 5), (3, 5), (0, 3), (1, 3), (2, 3)]
