[(0, 1), (1, 2), (2, 3), (3, 4), (3, 5), (3, 6), (6, 7)]
[(0, 1), (1, 2), (2, 4), (3, 4), (4, 5), (4, 6), (6, 7)]
[(0, 1), (1, 2), (2, 5), (3, 5), (4, 5), (5, 6), (6, 7)]
[(0, 1), (1, 2), (2, 5), (3, 5), (4, 5), (5, 7), (6, 7)]
[(0, 1), (0, 2), (2, 3), (3, 4), (3, 5), (3, 6), (6, 7)]
[(0, 1), (0, 2), (2, 4), (3, 4), (4, 5), (4, 6), (6, 7)]
[(0, 1), (0, 2), (2, 5), (3, 5), (4, 5), (5, 6), (6, 7)]
[(0, 1), (0, 2), (2, 5), (3, 5), (4, 5), (5, 7), (6, 7)]
[(6, 7), (5, 7), (2, 5), (2, 3), (2, 4), (0, 2), (0, 1)]
[(6, 7), (5, 7), (2, 5), (2, 3), (2, 4), (1, 2), (0, 1)]
[(6, 7), (5, 7), (3, 5), (2, 3), (3, 4), (1, 3), (0, 1)]
[(6, 7), (5, 7), (4, 5), (2, 4), (3, 4), (1, 4), (0, 1)]
[(6, 7), (5, 6), (2, 5), (2, 3), (2, 4), (0, 2), (0, 1)]
[(6, 7), (5, 6), (2, 5), (2, 3), (2, 4), (1, 2), (0, 1)]
[(6, 7), (5, 6), (3, 5), (2, 3), (3, 4), (1, 3), (0, 1)]
[(6, 7), (5, 6), (4, 5), (2, 4), (3, 4), (1, 4), (0, 1)]
